team_id,alias,note
4,Borussia Dortmund,
5,Bayern Munich,bookmakers use the English city name
10,VfB Stuttgart,
57,Arsenal,
58,Aston Villa,
64,Liverpool,
65,Manchester City,
66,Manchester United,
78,Atletico Madrid,without the accent
81,Barcelona,
86,Real Madrid,
90,Real Betis,
94,Villarreal,
100,Roma,
108,Inter Milan,football-data.org says FC Internazionale Milano / Inter
113,Napoli,
498,Sporting Lisbon,football-data.org says Sporting Clube de Portugal / Sporting CP
503,FC Porto,
521,Lille,
524,Paris Saint Germain,without the hyphen
524,PSG,
546,Lens,
610,Galatasaray,
613,Fenerbahce,without the cedilla
674,PSV Eindhoven,
675,Feyenoord,
721,RB Leipzig,
851,Club Brugge,
930,Slavia Prague,football-data.org says SK Slavia Praha
1887,Shakhtar Donetsk,
1899,AEK Athens,football-data.org says PAE AEK
2016,LASK,
5720,Viking,
5721,Bodo/Glimt,without the Norwegian ø
7397,Como,
7509,Slovan Bratislava,
10233,Sabah,
