team_id,team_name,api_venue,osm_name,latitude,longitude,timezone,osm_type,osm_id,osm_address,address_check,status,note
4,Borussia Dortmund,Signal Iduna Park,SIGNAL IDUNA PARK,51.49249,7.45185,Europe/Berlin,way,17235929,"SIGNAL IDUNA PARK, 50, Strobelallee, Innenstadt West, Dortmund, Nordrhein-Westfalen, 44139, Deutschland",OK,RESOLVED,query 'Signal Iduna Park'; OSM type stadium
5,FC Bayern München,Allianz Arena,Allianz Arena.,48.21879,11.62362,Europe/Berlin,relation,18413487,"Allianz Arena., 5, Werner-Heisenberg-Allee, Fröttmaning, Schwabing-Freimann, München, Bayern, 80939, Deutschland",OK,RESOLVED,query 'Allianz Arena'; OSM type stadium
10,VfB Stuttgart,Mercedes-Benz Arena,MHPArena,48.79225,9.23209,Europe/Berlin,way,3869991,"MHPArena, 87, Mercedesstraße, Wasen, Bad Cannstatt, Stuttgart, Baden-Württemberg, 70372, Deutschland",OK,RESOLVED,query 'Mercedes-Benz Arena'; OSM type stadium
57,Arsenal FC,Emirates Stadium,Emirates Stadium,51.55504,-0.10840,Europe/London,way,25651711,"Emirates Stadium, 75, Drayton Park, Finsbury Park, London Borough of Islington, Greater London, England, N5 1BU, United Kingdom",OK,RESOLVED,query 'Emirates Stadium'; OSM type stadium
58,Aston Villa FC,Villa Park,Villa Park,52.50913,-1.88504,Europe/London,way,23136743,"Villa Park, Trinity Road, Aston, Birmingham, West Midlands, England, B6 6HE, United Kingdom",OK,RESOLVED,query 'Villa Park'; OSM type stadium
64,Liverpool FC,Anfield,Anfield,53.43090,-2.96097,Europe/London,way,4830206,"Anfield, Anfield Road, Anfield, Liverpool, Liverpool City Region, England, L4 0TH, United Kingdom",OK,RESOLVED,query 'Anfield'; OSM type stadium
65,Manchester City FC,Etihad Stadium,Etihad Stadium,53.48314,-2.20053,Europe/London,way,26329734,"Etihad Stadium, Joe Mercer Way, Bradford, Manchester, Greater Manchester, England, M11 3FF, United Kingdom",OK,RESOLVED,query 'Etihad Stadium'; OSM type stadium
66,Manchester United FC,Old Trafford,Old Trafford,53.46311,-2.29139,Europe/London,way,99403577,"Old Trafford, Sir Matt Busby Way, Wharfside, Stretford, Trafford, Greater Manchester, England, M16 0RA, United Kingdom",OK,RESOLVED,query 'Old Trafford'; OSM type stadium
78,Club Atlético de Madrid,Estadio Wanda Metropolitano,Riyadh Air Metropolitano,40.43601,-3.59970,Europe/Madrid,way,458731140,"Riyadh Air Metropolitano, Avenida 26 de Abril, Rosas, San Blas - Canillejas, Madrid, Comunidad de Madrid, 28022, España",OK,RESOLVED,"query 'Estadio Metropolitano Madrid'; API name 'Wanda Metropolitano' is outdated, no OSM hit; OSM type stadium"
81,FC Barcelona,Camp Nou,Spotify Camp Nou,41.38088,2.12282,Europe/Madrid,way,34607291,"Spotify Camp Nou, Avinguda de Joan XXIII, la Maternitat, la Maternitat i Sant Ramon, les Corts, Barcelona, Barcelonès, Barcelona, Catalunya, 08028, España",OK,RESOLVED,"query 'Spotify Camp Nou'; API name 'Camp Nou' matched a village pitch in Palau-saverdera, ~130 km away; OSM type stadium"
86,Real Madrid CF,Estadio Santiago Bernabéu,Bernabéu,40.45304,-3.68820,Europe/Madrid,way,1507411898,"Bernabéu, Acceso Parking, Hispanoamérica, Chamartín, Madrid, Comunidad de Madrid, 28020, España",OK,RESOLVED,query 'Estadio Santiago Bernabéu'; OSM type stadium
90,Real Betis Balompié,Estadio Benito Villamarín,Estadio Benito Villamarín,37.35645,-5.98092,Europe/Madrid,way,28355046,"Estadio Benito Villamarín, Glorieta Plus Ultra, Heliópolis, Distrito Bellavista-La Palmera, Sevilla, Andalucía, 41012, España",OK,RESOLVED,query 'Estadio Benito Villamarín'; OSM type stadium
94,Villarreal CF,Estadio de la Cerámica,Estadio de la Cerámica,39.94421,-0.10340,Europe/Madrid,way,21875758,"Estadio de la Cerámica, Carrer Blasco Ibáñez, Vila-real, la Plana Baixa, Castelló / Castellón, Comunitat Valenciana, 12540, España",REVIEWED: OSM spells the town Vila-real (Valencian); correct stadium,RESOLVED,query 'Estadio de la Cerámica'; OSM type stadium
100,AS Roma,Stadio Olimpico,Stadio Olimpico;Ponte Milvio,41.93877,12.45813,Europe/Rome,node,324815671,"Stadio Olimpico;Ponte Milvio, Via del Foro Italico, Ponte Milvio, Municipio Roma XV, Roma, Roma Capitale, Lazio, 00194, Italia",OK,RESOLVED,"query 'Stadio Olimpico, Roma'; 'Stadio Olimpico' matched the one in Turin; Nominatim does not return Rome's stadium object, only the junction named after it ~0.6 km away - irrelevant at weather-model resolution (1-11 km); OSM type motorway_junction"
